day_of_week,hour_of_day,traffic_level,total_connectors,available_connectors,queue_length,wait_time_minutes
1,16,1,2,1,0,0.0
5,10,0,4,0,2,17.4
3,9,2,3,1,0,0.0
3,23,1,2,2,0,0.0
4,6,1,3,1,0,0.0
5,17,2,4,0,5,73.95
2,5,1,4,1,0,0.0
2,3,0,3,2,0,0.0
5,17,2,2,0,1,47.71
1,11,1,2,1,0,0.0
3,10,0,3,2,0,0.0
3,3,0,3,0,1,15.02
1,16,2,2,1,0,0.0
4,9,1,3,0,2,38.36
1,10,1,3,3,0,0.0
1,10,0,4,0,1,13.33
2,20,0,2,2,0,0.0
0,0,0,3,1,0,0.0
6,5,0,4,3,0,0.0
6,2,1,2,1,0,0.0
5,13,0,3,3,0,0.0
3,0,1,2,0,2,47.62
2,0,1,3,1,0,0.0
0,21,1,2,2,0,0.0
1,7,2,4,0,2,34.36
0,12,1,4,2,0,0.0
1,2,0,2,1,0,0.0
3,23,1,4,4,0,0.0
2,13,0,4,2,0,0.0
3,11,0,2,1,0,0.0
0,7,2,2,0,2,72.49
5,0,1,4,1,0,0.0
0,11,1,4,0,1,16.74
5,8,2,4,0,5,70.99
0,21,1,2,0,0,15.31
5,3,0,3,3,0,0.0
0,17,2,3,0,2,48.46
5,21,0,4,2,0,0.0
3,21,1,2,2,0,0.0
2,19,2,4,0,4,57.1
6,3,1,4,4,0,0.0
0,9,1,2,1,0,0.0
1,19,2,2,0,3,93.19
5,13,0,3,0,2,23.56
3,6,0,4,2,0,0.0
1,0,1,2,0,0,15.82
6,18,2,4,0,1,24.62
6,16,2,2,0,3,98.95
5,7,2,3,0,4,81.72
0,3,0,2,1,0,0.0
2,21,0,3,0,0,8.01
6,1,0,2,2,0,0.0
5,5,0,3,3,0,0.0
4,8,1,4,0,3,38.96
1,3,0,3,3,0,0.0
2,12,0,4,3,0,0.0
5,5,0,2,2,0,0.0
5,1,0,2,1,0,0.0
4,15,1,4,3,0,0.0
1,19,2,3,0,2,45.99
3,15,0,2,1,0,0.0
0,2,1,3,2,0,0.0
0,22,1,4,4,0,0.0
5,18,2,2,0,5,143.96
4,22,1,4,0,1,15.67
5,23,0,2,1,0,0.0
5,21,0,4,1,0,0.0
6,17,1,4,0,2,29.9
4,15,0,3,0,1,15.01
2,7,2,3,0,5,97.04
1,17,2,4,1,0,0.0
6,7,2,2,1,0,0.0
6,18,1,3,1,0,0.0
3,10,0,2,2,0,0.0
5,0,0,2,1,0,0.0
0,17,1,4,0,5,61.57
4,20,1,3,1,0,0.0
5,21,0,3,2,0,0.0
6,1,0,2,1,0,0.0
4,19,2,4,0,4,59.78
0,3,0,4,0,1,13.3
2,20,1,3,2,0,0.0
5,3,0,2,1,0,0.0
1,22,1,4,3,0,0.0
0,8,1,4,0,1,20.88
6,12,0,2,0,2,36.7
2,3,0,3,0,1,17.11
3,21,1,4,1,0,0.0
3,0,1,4,0,2,24.4
3,18,2,3,0,5,96.2
1,23,0,2,1,0,0.0
5,19,2,4,1,0,0.0
3,19,1,4,0,4,47.2
2,9,1,3,0,4,65.05
4,22,1,4,2,0,0.0
6,22,0,4,4,0,0.0
5,6,0,2,2,0,0.0
5,9,2,4,0,2,37.0
4,17,2,4,0,1,26.9
6,11,0,4,4,0,0.0
4,21,0,4,4,0,0.0
2,13,1,2,0,0,18.17
3,4,1,2,0,0,20.56
2,5,1,3,2,0,0.0
1,1,0,4,1,0,0.0
6,17,2,2,1,0,0.0
0,19,2,4,0,5,70.47
3,7,2,4,0,1,25.74
3,12,1,3,2,0,0.0
4,1,1,2,1,0,0.0
1,19,1,3,0,5,78.37
4,23,0,4,1,0,0.0
2,14,1,2,0,0,20.63
1,23,0,4,3,0,0.0
0,13,1,3,2,0,0.0
1,5,0,4,0,1,10.88
3,22,0,2,0,1,23.32
4,1,1,4,2,0,0.0
3,18,2,4,0,3,46.8
4,7,2,2,0,5,139.75
1,13,1,4,3,0,0.0
0,11,0,2,2,0,0.0
2,10,0,3,1,0,0.0
6,19,2,4,0,1,22.95
5,11,0,3,1,0,0.0
0,21,0,3,0,1,15.15
2,17,2,4,0,5,72.3
6,11,1,4,3,0,0.0
3,1,1,3,1,0,0.0
2,16,1,2,0,5,117.68
4,0,0,4,1,0,0.0
5,20,1,2,1,0,0.0
6,3,1,2,2,0,0.0
5,13,0,4,1,0,0.0
0,14,0,4,0,0,10.0
0,1,0,2,2,0,0.0
0,18,2,2,1,0,0.0
3,14,0,4,3,0,0.0
2,0,1,3,0,2,34.4
0,20,1,4,0,2,23.22
4,1,0,4,2,0,0.0
4,3,1,3,2,0,0.0
4,2,0,3,3,0,0.0
3,21,0,2,0,2,35.7
1,4,0,4,4,0,0.0
2,20,0,2,2,0,0.0
6,23,0,4,0,2,19.73
6,17,1,2,0,1,36.36
4,19,2,3,0,3,67.66
1,23,1,4,2,0,0.0
1,13,1,4,1,0,0.0
1,5,1,2,1,0,0.0
1,3,1,2,2,0,0.0
6,1,0,4,4,0,0.0
0,9,1,4,0,1,21.86
1,23,0,4,2,0,0.0
2,4,1,4,1,0,0.0
0,9,1,4,0,3,38.06
3,14,1,3,2,0,0.0
5,18,2,2,0,3,92.57
3,5,0,2,0,0,15.21
5,23,0,4,2,0,0.0
6,11,1,2,2,0,0.0
2,15,0,3,2,0,0.0
6,9,2,3,0,2,47.77
5,19,2,2,0,5,146.48
1,8,2,4,0,1,20.81
0,16,1,4,1,0,0.0
6,18,1,2,0,5,115.8
4,15,0,4,2,0,0.0
3,7,2,4,0,2,36.01
3,16,1,4,1,0,0.0
2,16,2,2,0,5,144.09
5,5,0,4,3,0,0.0
1,5,1,4,1,0,0.0
5,23,0,3,0,0,7.43
6,15,0,2,1,0,0.0
2,7,2,2,0,5,145.25
6,11,0,3,3,0,0.0
0,1,0,4,0,2,16.61
4,20,1,3,2,0,0.0
4,17,1,4,1,0,0.0
5,12,1,3,0,2,32.22
2,12,1,2,1,0,0.0
2,11,0,3,0,2,25.24
1,14,0,2,0,2,38.53
5,8,1,2,0,2,59.92
2,19,1,4,0,4,46.5
6,10,0,4,3,0,0.0
5,15,0,3,1,0,0.0
5,13,0,2,0,0,9.43
4,18,1,2,0,5,119.56
1,1,0,2,0,2,38.16
3,19,2,4,0,3,46.5
0,6,1,3,3,0,0.0
6,15,0,2,1,0,0.0
4,4,0,4,4,0,0.0
5,16,1,3,0,4,68.1
4,18,1,2,1,0,0.0
3,4,0,2,0,2,37.73
6,16,2,4,0,5,74.36
0,5,1,3,0,2,32.64
4,3,0,2,2,0,0.0
1,19,1,4,1,0,0.0
4,13,0,3,3,0,0.0
1,15,0,3,0,1,20.79
1,8,1,3,0,3,55.51
4,17,2,3,0,1,31.5
5,23,1,2,2,0,0.0
0,16,2,2,0,3,97.94
3,11,0,2,1,0,0.0
5,18,2,3,1,0,0.0
4,11,0,4,3,0,0.0
6,6,1,3,3,0,0.0
1,11,1,4,3,0,0.0
2,9,2,4,1,0,0.0
5,4,0,4,1,0,0.0
3,22,0,2,0,2,38.79
3,10,1,4,0,0,10.86
3,20,0,2,0,1,23.07
4,13,0,2,1,0,0.0
1,11,1,2,0,2,50.12
3,12,1,4,4,0,0.0
2,22,0,4,1,0,0.0
5,15,0,3,1,0,0.0
6,21,0,4,1,0,0.0
0,19,2,4,0,5,74.12
1,21,0,2,0,2,33.98
0,5,0,2,1,0,0.0
2,21,0,3,1,0,0.0
4,0,1,4,0,0,5.76
4,9,2,4,0,3,43.92
6,8,2,2,0,4,119.46
3,18,2,2,0,4,121.44
4,3,0,4,4,0,0.0
2,10,1,2,1,0,0.0
4,18,2,3,1,0,0.0
3,18,1,3,0,4,68.0
5,14,0,4,3,0,0.0
0,8,2,2,0,2,72.15
6,10,0,3,0,2,28.26
6,8,2,2,0,4,117.24
5,23,0,3,1,0,0.0
3,10,0,3,2,0,0.0
1,23,0,4,3,0,0.0
5,6,1,2,0,1,29.09
1,7,1,2,0,2,58.39
6,3,0,2,2,0,0.0
5,15,0,4,4,0,0.0
0,15,1,3,2,0,0.0
3,18,2,3,0,5,96.77
2,12,1,2,0,0,16.18
4,13,1,3,0,2,28.37
2,12,0,4,3,0,0.0
0,22,0,4,2,0,0.0
5,0,1,2,0,1,32.32
4,3,0,3,2,0,0.0
1,17,1,3,0,4,62.39
4,10,0,3,3,0,0.0
3,6,1,3,2,0,0.0
2,12,0,3,1,0,0.0
4,4,1,4,1,0,0.0
6,3,0,4,1,0,0.0
4,13,0,3,1,0,0.0
6,23,0,2,0,0,13.84
3,15,1,2,2,0,0.0
4,23,0,3,2,0,0.0
2,17,1,4,1,0,0.0
0,22,0,2,0,1,25.73
3,20,0,2,2,0,0.0
2,8,2,3,0,3,62.12
0,13,0,2,2,0,0.0
4,6,1,4,4,0,0.0
1,9,2,3,1,0,0.0
6,23,0,3,3,0,0.0
4,9,2,3,0,2,46.97
5,10,1,3,3,0,0.0
6,2,0,2,1,0,0.0
1,10,1,3,2,0,0.0
5,8,2,4,1,0,0.0
2,14,1,3,3,0,0.0
3,5,0,2,0,2,35.38
1,21,1,3,0,0,10.71
1,12,0,2,0,1,26.91
4,1,0,2,2,0,0.0
6,2,0,2,2,0,0.0
1,2,0,4,2,0,0.0
1,7,2,4,1,0,0.0
5,4,1,2,0,0,14.28
0,21,0,3,3,0,0.0
3,17,2,3,1,0,0.0
1,22,0,4,4,0,0.0
4,14,1,4,4,0,0.0
3,16,2,4,0,3,49.01
3,17,1,2,1,0,0.0
2,11,0,3,1,0,0.0
2,0,1,2,0,1,31.44
2,15,0,4,3,0,0.0
6,15,0,3,3,0,0.0
6,9,1,4,0,5,56.91
2,6,1,3,3,0,0.0
3,7,2,2,1,0,0.0
6,12,0,2,0,1,24.79
5,7,2,4,0,3,45.93
5,23,0,4,3,0,0.0
1,2,0,2,1,0,0.0
0,20,1,3,3,0,0.0
2,22,0,4,1,0,0.0
2,0,0,2,2,0,0.0
0,5,0,2,1,0,0.0
1,22,1,3,0,0,9.73
0,4,0,2,0,1,22.6
3,9,2,3,1,0,0.0
5,1,0,3,1,0,0.0
0,8,1,3,1,0,0.0
1,6,0,3,0,0,12.26
6,22,0,2,1,0,0.0
1,23,0,2,1,0,0.0
5,3,1,4,1,0,0.0
3,12,0,4,2,0,0.0
1,20,0,4,4,0,0.0
4,3,0,3,2,0,0.0
1,11,1,2,0,0,16.32
1,20,0,3,0,0,6.93
6,8,1,4,1,0,0.0
6,7,1,2,1,0,0.0
5,19,2,2,0,2,72.43
1,15,1,2,2,0,0.0
2,20,0,2,1,0,0.0
5,4,1,4,0,0,7.9
3,7,2,3,0,4,79.56
5,6,1,2,1,0,0.0
2,23,0,2,0,1,26.23
5,14,0,4,4,0,0.0
5,15,1,2,0,2,50.27
2,10,0,4,2,0,0.0
6,19,1,4,0,5,57.44
1,14,0,3,2,0,0.0
3,0,1,4,3,0,0.0
5,5,1,2,1,0,0.0
6,19,2,2,0,5,142.85
6,12,1,2,2,0,0.0
3,17,2,2,0,3,95.45
3,20,0,3,0,2,20.4
5,2,0,2,0,0,9.47
1,3,0,3,0,0,11.07
4,20,1,3,3,0,0.0
4,19,2,4,0,1,27.29
2,7,2,4,0,1,23.5
1,20,0,3,3,0,0.0
6,20,0,2,2,0,0.0
5,13,1,3,0,2,33.65
2,16,2,2,0,3,96.62
0,6,0,4,0,2,24.91
1,17,1,3,0,5,80.24
5,7,2,4,0,5,71.74
5,17,2,3,0,5,94.09
2,21,1,3,3,0,0.0
0,5,1,2,1,0,0.0
4,10,0,4,4,0,0.0
4,14,0,3,2,0,0.0
6,11,1,3,3,0,0.0
6,23,1,3,1,0,0.0
4,17,2,2,0,3,92.79
3,14,0,3,0,1,17.07
4,0,0,4,2,0,0.0
0,9,1,2,0,1,37.49
6,22,1,3,1,0,0.0
0,1,0,3,1,0,0.0
1,8,2,3,0,2,45.16
2,9,2,2,1,0,0.0
4,6,0,4,2,0,0.0
6,15,0,2,2,0,0.0
5,18,2,2,0,1,46.71
5,18,1,3,0,3,49.84
2,13,0,3,1,0,0.0
5,20,0,4,3,0,0.0
0,9,1,4,0,5,61.87
4,4,1,3,1,0,0.0
1,1,1,4,3,0,0.0
3,19,2,4,0,2,37.76
3,9,1,3,0,3,51.98
0,15,1,4,0,2,27.33
3,8,2,2,1,0,0.0
6,22,0,2,1,0,0.0
4,6,0,3,1,0,0.0
4,19,2,4,0,2,36.15
0,8,2,3,0,1,30.28
5,13,0,3,2,0,0.0
1,10,1,3,0,1,24.71
1,11,0,4,4,0,0.0
1,14,0,2,0,2,38.58
2,4,0,4,0,2,16.68
0,7,1,4,0,1,19.12
2,22,0,2,1,0,0.0
3,0,0,3,1,0,0.0
1,17,2,4,1,0,0.0
4,23,1,2,2,0,0.0
5,0,1,3,0,1,19.92
1,1,0,3,2,0,0.0
0,14,0,4,0,1,9.73
5,8,2,4,0,1,25.85
0,9,2,4,0,4,63.82
4,22,0,2,1,0,0.0
6,19,1,4,0,2,26.45
4,14,1,4,0,0,9.25
1,16,2,3,1,0,0.0
3,23,0,2,1,0,0.0
5,11,1,3,2,0,0.0
1,16,1,3,0,4,63.7
6,0,0,4,1,0,0.0
1,10,1,3,1,0,0.0
0,23,1,3,1,0,0.0
3,7,1,4,1,0,0.0
2,19,2,3,0,2,47.03
5,4,1,4,1,0,0.0
6,4,1,3,1,0,0.0
3,4,1,4,1,0,0.0
2,2,1,4,0,0,6.94
2,4,0,4,2,0,0.0
3,13,0,3,2,0,0.0
1,6,0,2,0,0,10.77
6,19,2,4,0,5,72.1
1,7,1,4,0,1,17.84
5,15,1,2,2,0,0.0
3,22,0,4,1,0,0.0
6,12,0,3,1,0,0.0
1,6,0,2,1,0,0.0
6,0,0,3,1,0,0.0
5,21,0,2,0,0,13.04
3,19,2,3,0,4,79.9
1,13,0,3,3,0,0.0
5,10,1,3,0,2,32.02
0,14,0,3,1,0,0.0
4,17,2,3,0,5,94.18
3,16,1,4,0,3,37.85
3,12,0,3,3,0,0.0
1,13,1,3,0,2,34.01
4,4,1,3,3,0,0.0
0,23,0,4,1,0,0.0
6,18,2,4,0,4,61.0
3,10,0,3,1,0,0.0
3,18,1,4,1,0,0.0
0,8,2,3,0,1,30.04
0,3,0,4,2,0,0.0
0,16,2,4,0,4,60.2
4,12,0,2,1,0,0.0
4,21,0,2,0,0,14.0
6,22,0,2,1,0,0.0
2,23,0,3,1,0,0.0
0,4,0,2,2,0,0.0
6,8,2,2,1,0,0.0
6,15,0,4,4,0,0.0
3,7,2,2,1,0,0.0
3,13,0,3,0,0,4.99
4,8,2,4,0,1,25.09
1,4,1,2,1,0,0.0
0,4,1,2,2,0,0.0
6,19,2,3,0,1,30.67
0,13,0,2,2,0,0.0
2,19,2,4,0,4,61.14
5,18,1,3,0,3,50.47
2,11,0,3,3,0,0.0
6,17,2,2,1,0,0.0
1,3,0,4,2,0,0.0
4,13,0,4,1,0,0.0
4,1,1,2,2,0,0.0
5,16,2,2,0,4,116.39
4,10,1,3,2,0,0.0
1,19,2,4,1,0,0.0
3,5,0,4,2,0,0.0
1,0,0,2,1,0,0.0
5,3,0,4,4,0,0.0
3,13,0,2,1,0,0.0
4,20,0,2,2,0,0.0
1,22,0,3,0,1,13.41
2,16,2,4,0,1,24.1
5,10,0,3,0,0,8.85
1,10,1,3,3,0,0.0
3,1,0,4,3,0,0.0
1,20,1,3,2,0,0.0
3,13,0,4,4,0,0.0
2,18,2,4,0,5,70.19
4,0,1,2,2,0,0.0
2,11,0,2,1,0,0.0
6,0,0,3,1,0,0.0
4,19,1,3,0,3,53.28
5,10,0,4,2,0,0.0
3,2,0,3,2,0,0.0
3,9,2,2,0,2,68.68
0,11,0,2,0,1,24.87
4,0,1,3,1,0,0.0
1,10,1,3,2,0,0.0
6,10,0,2,2,0,0.0
5,4,1,2,0,1,30.08
3,22,0,4,0,1,11.2
0,21,0,4,2,0,0.0
3,1,1,2,2,0,0.0
5,9,2,2,0,2,72.09
2,6,0,2,1,0,0.0
4,10,1,3,0,1,19.95
1,5,0,3,0,2,24.23
4,16,1,2,0,5,119.01
2,8,2,2,0,5,142.85
1,5,0,2,2,0,0.0
2,17,1,3,0,1,27.67
3,21,0,2,1,0,0.0
0,2,0,3,1,0,0.0
5,19,2,4,1,0,0.0
4,11,0,3,1,0,0.0
5,21,0,4,3,0,0.0
4,4,1,2,1,0,0.0
0,14,1,3,3,0,0.0
3,7,1,2,0,3,75.74
3,5,1,4,2,0,0.0
6,10,0,3,0,0,9.39
3,3,0,3,3,0,0.0
6,5,0,3,1,0,0.0
4,3,1,3,0,1,24.55
4,20,0,2,2,0,0.0
3,12,0,4,1,0,0.0
4,7,1,4,1,0,0.0
3,2,0,3,3,0,0.0
6,13,0,4,4,0,0.0
5,7,2,2,0,5,139.06
6,15,1,2,2,0,0.0
3,10,0,4,3,0,0.0
1,9,1,3,0,5,76.41
6,12,0,3,0,0,9.49
1,4,1,4,0,0,7.72
5,4,1,3,2,0,0.0
3,19,2,4,0,2,36.74
5,10,1,3,2,0,0.0
3,22,0,3,0,2,23.79
4,12,0,2,0,1,25.17
4,1,1,2,2,0,0.0
6,11,0,2,0,0,12.19
3,22,0,4,2,0,0.0
5,12,0,3,3,0,0.0
4,6,0,4,3,0,0.0
1,6,0,4,2,0,0.0
6,13,0,2,2,0,0.0
1,4,0,2,2,0,0.0
0,4,0,4,3,0,0.0
1,2,1,2,1,0,0.0
6,14,1,4,3,0,0.0
4,5,1,3,3,0,0.0
4,14,0,3,1,0,0.0
1,13,0,4,4,0,0.0
3,23,1,2,2,0,0.0
2,13,1,4,2,0,0.0
0,1,0,4,2,0,0.0
0,18,2,3,0,2,50.34
5,23,0,4,3,0,0.0
4,2,1,4,0,0,8.63
3,20,1,4,0,2,25.05
5,17,2,4,0,3,47.18
4,0,0,3,3,0,0.0
4,23,0,3,2,0,0.0
6,9,1,3,0,5,77.02
5,9,2,4,0,1,23.13
5,15,0,4,4,0,0.0
0,21,1,3,0,1,22.46
3,2,1,2,0,1,31.66
2,4,0,4,2,0,0.0
6,8,2,2,0,5,144.58
1,18,1,4,1,0,0.0
2,5,1,3,1,0,0.0
3,5,0,4,2,0,0.0
0,4,0,4,3,0,0.0
6,13,0,3,3,0,0.0
5,20,0,2,2,0,0.0
5,11,1,2,1,0,0.0
6,3,0,2,1,0,0.0
3,15,0,3,1,0,0.0
3,21,0,4,3,0,0.0
2,4,0,4,0,1,16.65
6,14,1,3,2,0,0.0
4,21,0,2,2,0,0.0
5,11,1,3,2,0,0.0
2,8,1,3,0,5,79.74
3,14,1,4,1,0,0.0
5,21,0,4,4,0,0.0
2,21,0,4,2,0,0.0
4,0,0,4,0,0,5.6
3,3,0,4,3,0,0.0
2,7,2,4,0,2,38.4
0,0,0,4,0,2,17.93
5,6,1,4,0,2,20.3
0,2,0,4,3,0,0.0
5,20,0,4,0,2,16.73
1,8,2,3,0,4,76.26
2,13,1,4,2,0,0.0
2,5,0,2,0,1,24.3
3,10,0,2,1,0,0.0
1,14,0,2,0,2,37.54
3,5,0,4,0,0,9.6
4,13,1,2,2,0,0.0
0,14,0,4,0,0,6.9
0,2,1,4,2,0,0.0
6,14,0,2,0,2,37.06
5,0,1,2,1,0,0.0
2,4,0,4,3,0,0.0
4,0,1,4,3,0,0.0
3,13,1,3,0,2,34.16
1,0,1,3,3,0,0.0
0,18,2,4,0,3,43.58
3,1,1,4,0,1,16.72
4,10,0,2,1,0,0.0
5,6,1,2,0,1,34.04
5,6,1,3,3,0,0.0
0,20,0,4,3,0,0.0
0,20,1,3,1,0,0.0
1,1,0,2,2,0,0.0
4,7,2,3,0,5,93.04
5,9,2,3,1,0,0.0
0,1,0,3,2,0,0.0
6,23,0,2,0,0,14.79
6,20,1,4,3,0,0.0
5,17,2,2,0,1,48.68
0,23,0,2,2,0,0.0
0,15,0,4,1,0,0.0
5,20,0,2,0,2,36.67
0,9,2,2,0,5,145.27
0,3,0,2,2,0,0.0
6,19,1,2,0,4,102.04
2,23,0,4,2,0,0.0
0,21,1,4,1,0,0.0
2,6,1,2,0,1,32.86
0,3,0,3,3,0,0.0
1,22,1,3,1,0,0.0
3,7,1,4,0,1,20.0
6,20,0,4,1,0,0.0
0,15,0,2,0,0,11.58
0,22,1,4,2,0,0.0
3,22,1,3,1,0,0.0
1,4,0,4,4,0,0.0
3,13,0,2,2,0,0.0
5,1,0,4,3,0,0.0
4,2,0,4,2,0,0.0
3,0,0,4,1,0,0.0
0,16,2,2,0,5,142.3
4,7,2,3,0,3,65.66
0,6,0,2,2,0,0.0
6,15,0,3,1,0,0.0
5,1,1,2,1,0,0.0
2,6,0,3,2,0,0.0
4,14,0,2,2,0,0.0
0,17,1,2,0,4,95.79
4,3,0,2,2,0,0.0
3,18,2,4,1,0,0.0
1,23,0,4,1,0,0.0
6,3,0,3,0,0,8.48
5,13,0,2,0,0,11.54
3,18,1,3,1,0,0.0
1,6,0,4,1,0,0.0
3,11,0,2,2,0,0.0
1,20,0,3,1,0,0.0
2,4,1,2,2,0,0.0
0,8,1,2,1,0,0.0
3,13,0,2,0,1,25.96
4,5,1,4,1,0,0.0
4,17,1,2,1,0,0.0
6,16,1,3,1,0,0.0
6,14,0,3,3,0,0.0
5,7,2,2,1,0,0.0
4,7,1,4,0,4,49.42
0,1,1,3,0,1,23.74
4,12,1,3,0,1,20.65
3,7,2,2,0,4,119.46
1,4,0,3,1,0,0.0
5,2,0,2,2,0,0.0
2,5,0,4,4,0,0.0
5,18,2,2,1,0,0.0
6,4,0,4,1,0,0.0
6,11,0,4,0,2,16.79
0,12,0,4,4,0,0.0
0,9,2,3,0,1,31.11
4,10,0,4,4,0,0.0
5,11,0,2,1,0,0.0
2,14,0,4,2,0,0.0
2,5,1,4,0,2,25.13
5,6,0,2,0,2,39.01
0,20,1,3,1,0,0.0
6,23,0,2,1,0,0.0
2,16,2,4,0,1,22.16
0,11,0,3,3,0,0.0
4,16,2,2,0,4,121.74
4,11,1,4,0,0,10.84
3,2,0,2,0,1,25.83
0,3,0,2,0,2,41.25
1,15,0,2,2,0,0.0
5,0,0,3,1,0,0.0
3,11,0,3,0,1,15.12
1,2,0,2,2,0,0.0
5,10,1,3,2,0,0.0
5,20,0,3,3,0,0.0
3,9,1,4,0,2,26.76
6,8,2,2,0,3,92.44
6,1,0,2,1,0,0.0
3,5,0,4,4,0,0.0
2,5,1,2,2,0,0.0
5,4,0,2,0,0,15.49
2,18,2,2,0,3,97.31
1,6,1,4,0,2,24.26
2,11,0,2,1,0,0.0
4,5,0,4,0,0,6.81
3,15,0,2,1,0,0.0
1,0,1,4,4,0,0.0
2,20,0,4,3,0,0.0
2,18,1,4,1,0,0.0
2,22,1,2,1,0,0.0
0,4,1,4,0,1,14.0
0,12,0,4,3,0,0.0
2,2,0,3,1,0,0.0
4,16,2,2,0,1,52.89
0,17,2,3,0,5,96.26
3,6,0,3,0,2,25.22
2,12,1,2,1,0,0.0
2,12,0,3,2,0,0.0
2,11,0,3,0,0,9.78
5,14,0,4,3,0,0.0
2,5,0,4,3,0,0.0
1,18,1,4,0,2,30.21
2,15,0,4,0,2,19.2
6,12,0,2,1,0,0.0
5,8,1,3,1,0,0.0
5,18,1,2,0,4,95.92
2,17,1,3,0,5,78.94
2,15,1,4,3,0,0.0
1,0,0,2,1,0,0.0
2,20,0,4,0,2,22.51
5,9,1,3,1,0,0.0
5,20,0,2,0,1,27.69
3,2,1,4,2,0,0.0
4,15,0,4,2,0,0.0
5,21,1,3,0,1,24.85
4,23,0,4,2,0,0.0
1,18,1,2,0,4,96.48
5,4,0,3,0,1,14.69
2,13,0,4,0,1,12.25
2,16,1,4,0,2,29.36
6,3,0,4,4,0,0.0
2,10,0,4,2,0,0.0
5,22,0,4,0,2,20.94
4,11,0,2,0,2,34.12
2,11,0,3,2,0,0.0
1,3,0,2,2,0,0.0
1,6,1,4,4,0,0.0
6,17,2,4,0,4,63.06
3,2,0,2,0,1,24.68
2,9,2,4,0,4,59.15
4,16,1,3,0,1,23.98
5,3,0,2,2,0,0.0
1,22,0,2,0,0,9.19
1,2,1,3,0,0,12.48
0,15,0,3,1,0,0.0
0,1,1,4,4,0,0.0
0,15,0,2,0,0,12.65
2,21,0,2,0,2,34.92
1,18,1,2,0,1,36.41
0,4,0,4,4,0,0.0
2,11,1,2,2,0,0.0
4,7,2,4,0,1,23.33
6,18,2,2,0,2,75.34
2,5,0,4,0,0,5.73
4,22,0,3,1,0,0.0
3,21,0,2,1,0,0.0
3,13,1,2,0,1,29.49
0,10,0,2,0,2,37.01
1,15,1,3,2,0,0.0
4,23,0,2,1,0,0.0
3,3,0,3,3,0,0.0
4,23,1,3,3,0,0.0
1,17,2,3,1,0,0.0
1,2,1,3,2,0,0.0
1,0,0,4,0,1,11.95
3,16,2,4,0,1,18.61
1,12,1,3,0,2,32.39
1,2,0,3,2,0,0.0
1,19,1,3,0,4,64.54
5,15,1,3,2,0,0.0
6,20,0,3,3,0,0.0
5,19,2,3,0,2,49.39
6,14,0,2,1,0,0.0
3,15,1,2,0,0,19.95
0,23,0,2,1,0,0.0
5,0,0,2,2,0,0.0
5,10,0,2,2,0,0.0
4,3,1,2,2,0,0.0
6,15,0,3,2,0,0.0
5,15,1,3,2,0,0.0
4,10,1,4,0,0,10.38
3,3,0,3,2,0,0.0
6,12,0,3,0,0,7.8
1,17,2,4,0,4,57.79
3,4,1,3,3,0,0.0
3,3,1,4,3,0,0.0
5,17,2,4,1,0,0.0
3,17,2,2,0,4,125.15
2,15,0,4,4,0,0.0
5,11,0,3,0,0,8.45
4,1,0,2,1,0,0.0
6,23,0,4,2,0,0.0
3,3,0,3,2,0,0.0
3,11,1,2,0,0,16.28
1,20,1,3,0,2,32.45
0,9,2,2,0,1,48.4
4,10,0,2,2,0,0.0
6,13,1,4,3,0,0.0
2,0,0,4,4,0,0.0
0,10,1,3,3,0,0.0
2,18,2,2,0,2,71.71
2,15,1,4,2,0,0.0
1,19,2,3,1,0,0.0
1,15,0,4,4,0,0.0
1,9,1,3,0,5,76.85
3,7,2,4,0,5,70.91
0,18,2,3,0,5,95.93
6,16,2,3,0,3,62.91
6,2,0,4,4,0,0.0
6,9,2,3,0,2,46.57
3,12,1,3,3,0,0.0
5,17,1,2,0,5,117.21
3,6,1,4,3,0,0.0
2,20,1,4,3,0,0.0
4,23,0,4,4,0,0.0
1,11,0,3,1,0,0.0
1,23,0,4,3,0,0.0
3,10,1,2,0,1,31.99
2,9,1,4,0,5,61.51
1,12,0,2,0,0,7.2
0,7,2,3,1,0,0.0
4,13,1,3,0,0,13.02
1,8,1,2,0,3,80.49
5,17,2,2,0,4,115.85
6,0,0,2,1,0,0.0
4,9,2,2,0,1,47.31
3,23,0,2,0,2,36.76
5,16,2,2,0,4,117.18
0,7,1,4,0,3,37.44
6,18,2,4,0,4,57.78
1,4,0,2,0,1,28.5
3,13,1,3,0,1,23.54
4,11,0,4,2,0,0.0
4,13,1,3,1,0,0.0
2,4,0,3,2,0,0.0
6,9,2,2,0,1,50.54
5,21,0,2,2,0,0.0
3,9,2,4,0,1,25.44
4,7,2,3,0,4,77.74
2,9,1,2,0,2,57.45
6,5,1,3,2,0,0.0
6,20,0,3,2,0,0.0
6,2,0,3,3,0,0.0
6,10,0,4,0,0,7.23
5,8,1,4,0,4,46.31
4,23,1,4,2,0,0.0
3,22,0,2,2,0,0.0
5,5,0,4,1,0,0.0
0,12,1,2,1,0,0.0
2,18,1,2,0,2,59.93
4,22,0,4,4,0,0.0
5,13,0,3,3,0,0.0
6,23,0,2,0,2,37.02
4,10,0,3,0,1,15.92
2,5,0,3,1,0,0.0
0,0,1,4,4,0,0.0
5,7,2,2,0,3,97.42
5,5,0,2,2,0,0.0
3,19,1,3,0,3,52.89
1,18,1,2,1,0,0.0
